Def,Example,Persian,English
"tun, tut, tat, hat getan",1. Ich habe heute viel zu tun. 2. Was kann ich für Sie tun? 3. Ich habe zu viel Zucker in den Kaffee getan. 4. Es tut mir leid. Ich kann nicht kommen. 5. Der Arm tut mir weh. 6. Ich habe endlich mal ausgeschlafen. Das hat gut getan.,"انجام دادن، انجام می‌دهد، کرد، انجام داده است","do, does, did, has done"
"die Tür, -en",Machen Sie bitte die Tür zu! Es zieht.,"در، -s","the door, -s"
"der Turm, ¨-e","Kommen Sie auf den Turm, von hier sieht man die ganze Stadt.","برج، -e","the tower, -e"
"die Tüte, -n",Brauchen Sie eine Tüte für den Salat?,"کیف، -s","the bag, -s"
"der Typ, -en",1. Mein Nachbar ist ein netter Typ. 2. Was für ein Typ bist du? Was machst du gerne? 3. Kennen Sie sich mit den verschiedenen Typen aus? Auch mit meinem Auto?,"نوع، -s","the type, -s"
typisch,"1. Im Hotel gab es typisch deutsches Essen. 2. Er kommt wieder zu spät, das ist typisch. 3. Diese Musik ist typisch für dieses Land.",معمولی,typical
"die U-Bahn, -en",Ich fahre mit der U-Bahn.,"مترو، -s","the subway, -s"
üben,Ich lerne gerade Gitarre spielen. Ich übe jeden Tag zwei Stunden.,تمرین,practice
"die Übung, -en",1. Diese Übung war sehr schwer. 2. Ich fahre nicht oft Auto. Mir fehlt die Übung.,"تمرین، -s","the exercise, -s"
über,"1. Die Müllers wohnen direkt über uns. 2. Pass bitte auf, wenn du über die Straße gehst. 3. Fahren Sie über Stuttgart oder über Würzburg? 4. Übers Wochenende fahren wir in die Berge. 5. Kinder über zehn Jahre müssen voll bezahlen. 6. Ich suche ein Buch über die deutsche Küche.",بالا,above
überall,"Ich habe überall gesucht, aber meine Brille ist weg.",همه جا,everywhere
"überfahren, überfährt, überfuhr, hat überfahren",Gestern hat ein Autofahrer einen Hund überfahren.,"زیر گرفته، زیر گرفته، زیر گرفته، زیر گرفته است","run over, runs over, ran over, has run over"
überhaupt,1. Die Suppe schmeckt mir überhaupt nicht. 2. Tut mir leid. Ich habe überhaupt keine Zeit. 3. Du willst mit meinem Auto fahren? Hast du überhaupt einen Führerschein?,اصلاً,at all
"überholen, überholt, überholte, hat überholt",Hier dürfen Lkws nicht überholen.,"سبقت گرفتن، سبقت گرفتن، پیشی گرفتن، سبقت گرفته است","overtake, overtaken, overtook, has overtaken"
"überlegen, überlegt, überlegte, hat überlegt","1. Ich kann mich nicht entscheiden. Ich muss mir das noch überlegen. 2. Ich habe mir überlegt, ein Auto zu kaufen.","در نظر گرفتن، در نظر گرفتن، در نظر گرفتن، در نظر گرفته شده است","consider, considered, considered, has considered"
übermorgen,Morgen kann ich nicht. Wir sehen uns übermorgen.,پس‌فردا,the day after tomorrow
"übernachten, übernachtet, übernachtete, hat übernachtet",Wir haben auf dem Campingplatz übernachtet.,"شب ماندن، یک شب اقامت کردن، یک شب اقامت کردن، یک شب اقامت داشته است","to stay overnight, stayed overnight, stayed overnight, has stayed overnight"
"die Übernachtung, -en",In diesem Hotel kostet die Übernachtung mit Frühstück 90 Euro.,"اقامت شبانه، -s","the overnight stay, -s"
"übernehmen, übernimmt, übernahm, hat übernommen.",Ich habe das Geschäft von meinem Vater übernommen.,"تصاحب کردن، تصاحب کردن، در دست گرفتن، تصاحب کردن.","take over, takes over, took over, has taken over."
"überprüfen, überprüft, überprüfte, hat überprüft","Bitte überprüfen Sie, ob Ihr Name richtig geschrieben ist.","بررسی کرد، بررسی کرد، بررسی کرد، بررسی کرده است","check, checked, checked, has checked"
"überqueren, überquert, überquerte, hat überquert",Bitte die Straße nur an der Ampel überqueren.,"عبور، عبور، عبور کرده، عبور کرده است","cross, crossed, crossed, has crossed"
"überraschen, überrascht, überraschte, hat überrascht","Ich bin ganz überrascht, dass die Wohnung so billig ist.","غافلگیر، متعجب، شگفت‌زده، متعجب کرده است","surprise, surprised, surprised, has surprised"
"die Überraschung,-en","1. Ich habe eine Überraschung für dich. 2. Das ist ja eine Überraschung. Ich dachte, du bist im Urlaub.",شگفتی,the surprise
"überreden, überredet, überredete, hat überredet","Zuerst wollte ich nicht, aber mein Bruder hat mich überredet, einen Englischkurs zu machen.","ترغیب کردن، ترغیب کردن، متقاعد کردن، ترغیب کرده است","persuade, persuaded, persuaded, has persuaded"
"die Überschrift, -en",1. Der Artikel erschien unter der folgenden Überschrift: „…“ 2. Die Überschrift passt überhaupt nicht zum Inhalt des Artikels.,عنوان(ها),the heading(s)
"übersetzen, übersetzt, übersetzte, hat übersetzt",Können Sie mir bitte diesen Brief übersetzen?,"ترجمه کردن، ترجمه کردن، ترجمه کرده است","translate, translated, translated, has translated"
"der Übersetzer, - die Übersetzerin, -nen",Meine Tochter möchte als Übersetzerin arbeiten.,"مترجم، - مترجم (مونث)، -s","the translator, - the translator (female), -s"
"die Übersetzung, -en",Die Übersetzung des Buches ist sehr gut.,"ترجمه، -s","the translation, -s"
"die Überstunde, -n",Ich muss heute Überstunden machen.,"اضافه کاری، -s","overtime, -s"
"übertreiben, übertreibt, übertrieb, hat übertrieben",Ein bisschen Sport ist gesund. Aber man sollte es nicht übertreiben.,"اغراق کردن، مبالغه کردن، اغراق کردن، اغراق کرده است","exaggerate, exaggerates, exaggerated, has exaggerated"
"überweisen, überweist, überwies, hat überwiesen",1. Ich überweise dir das Geld. 2. Der Arzt hat mich ins Krankenhaus überwiesen.,"انتقال، انتقالات، منتقل شده، منتقل کرده است","transfer, transfers, transferred, has transferred"
"die Überweisung, - en",1. Sie können bar oder per Überweisung bezahlen. 2. Der Hausarzt hat mir eine Überweisung fürs Krankenhaus gegeben.,"انتقال، -s","the transfer, -s"
"(sich) überzeugen, überzeugt, überzeugte, hat überzeugt","1. Ihr Vorschlag überzeugt mich gar nicht. 2. Ich bin fest davon überzeugt, dass meine Entscheidung richtig ist.","متقاعد کردن خود، متقاعد کردن، متقاعد کردن، متقاعد کرده است","(to) convince oneself, convinced, convinced, has convinced"
"die Überzeugung, -en",Wie bist du zu dieser Überzeugung gekommen?,"محکومیت، -s","the conviction, -s"
üblich,"In Deutschland ist es üblich, früh zu Abend zu essen.",معمول,usual
übrig,Ist noch etwas zu essen übrig?,باقی مانده,left over
übrigens,"Übrigens, kennst du schon die neuen Nachbarn?",ضمناً,by the way
"das Ufer, -",1. Er schwimmt ans Ufer zurück. 2. Am Seeufer ist es schön spazieren zu gehen.,"ساحل، -","the shore, -"
"die Uhr, -en",1. Wie viel Uhr ist es? 2. Es ist vier Uhr. 3. Um wie viel Uhr müssen wir gehen? 4. Meine Uhr ist stehen geblieben.,"ساعت، -s","the clock, -s"
um,1. Wir treffen uns um 8 Uhr. 2. Die Apotheke ist gleich um die Ecke. 3. Die Benzinpreise sind schon wieder um 3 % gestiegen.,به,to
"umarmen, umarmt, umarmte, hat umarmt",Lass dich zum Abschied umarmen.,"در آغوش گرفت، در آغوش گرفت، در آغوش گرفت، در آغوش گرفته است","embrace, embraced, embraced, has embraced"
um … zu,"Um gesund zu bleiben, musst du Sport machen und Gemüse essen.",به منظور,in order to
"(sich) umdrehen, dreht um, drehte um, hat umgedreht",1. Dreh dich mal um. Da hinten liegt das Buch doch. 2. Dreh das Blatt um; die Lösung steht auf der Rückseite.,"(چرخیدن)، می‌چرخد، برگشته، برگشته است","(to) turn around, turns around, turned around, has turned around"
"die Umfrage, -n",Wir machen eine Umfrage zum Thema Umweltschutz.,"نظرسنجی، -s","the survey, -s"
"die Umgebung, -en",In der Umgebung von Berlin kann man schöne Ausflüge machen.,"محیط اطراف، -s","the surroundings, -s"
"umgehen, geht um, ging um, ist umgegangen",Er kann sehr gut mit Kindern umgehen.,"رسیدگی کردن، گشتن، دور زدن، رسیدگی کردن","to deal with, is going around, went around, has dealt with"
umgekehrt,"Nein, umgekehrt: erst der Vorname, dann der Nachname.",برعکس,vice versa
"die Umleitung, -en",Es gibt wegen des Unfalls eine Umleitung.,مسیر انحرافی (ها),the detour(s)
umso,"1. Je früher wir dort sind, umso besser sind unsere Chancen auf einen guten Sitzplatz. 2. Ich kann dir nicht nur heute, sondern auch morgen helfen. – Umso besser!",از همه بیشتر,all the more
umsonst,"1. Ich musste nichts bezahlen. Die Reparatur war umsonst. 2. Nichts hat geholfen, es war alles umsonst.",به صورت رایگان,for free
"umsteigen, steigt um, stieg um, ist umgestiegen",In Ulm müssen Sie umsteigen.,"قطار عوض کردن، قطار عوض کردن، قطار عوض کردن، قطار عوض کرده است","change trains, changes trains, changed trains, has changed trains"
"umtauschen, tauscht um, tauschte um, hat umgetauscht",1. Ich möchte diese Bluse umtauschen. Sie passt mir nicht. 2. Wo kann ich Geld umtauschen?,"مبادله، معاوضه، رد و بدل کردن، مبادله کرده است","exchange, exchanges, exchanged, has exchanged"
"der Umtausch, ¨-e",Ein Umtausch ist leider nicht möglich.,"مبادله، ¨-e","the exchange, ¨-e"
die Umwelt,Alte Autos sind ein Problem für die Umwelt.,محیط زیست,the environment
der Umweltschutz,Das Land muss mehr Geld für Umweltschutz ausgeben.,حفاظت از محیط زیست,environmental protection
"die Umweltverschmutzung, -en",Die Umweltverschmutzung nimmt weiter zu.,"آلودگی، -s","pollution, -s"
"umziehen, zieht um, zog um, ist umgezogen",Familie Meier ist letzten Monat umgezogen. Sie wohnen nicht mehr hier.,"حرکت کردن، در حال حرکت است، حرکت کرد، حرکت کرده است","to move, is moving, moved, has moved"
"der Umzug, ¨-e",Der Umzug ist nächste Woche.,"حرکت، -e","the move, -e"
"sich umziehen, zieht sich um, zog sich um, hat sich umgezogen","Bevor wir zur Party gehen, möchte ich mich umziehen.","لباس عوض کردن، آیا لباس عوض کردن است، لباس عوض کردن، لباس عوض کرده است","to change clothes, is changing clothes, changed clothes, has changed clothes"
un-,1. Der Verkäufer war sehr unfreundlich. 2. Dieses Geräusch ist mir unangenehm. 3. Er kam wie immer unpünktlich.,سازمان ملل متحد-,U.N-
unbedingt,Ich muss unbedingt mit dir sprechen.,کاملاً,absolutely
und,1. Ich habe heute und morgen frei. 2. Ich kaufe ein und mein Mann kocht.,و,and
"der Unfall, ¨-e",Ich hatte letzte Woche einen Unfall.,"تصادف، -e","the accident, -e"
ungefähr,"Wie weit ist es bis zum Bahnhof? – Nicht weit, ungefähr zehn Minuten zu Fuß.",تقریباً,approximately
ungewöhnlich,"Ich finde diese Speise ungewöhnlich, aber sie schmeckt gut.",غیرمعمول,unusual
unglaublich,Es ist unglaublich. Schon wieder so ein Unglück.,باورنکردنی,incredible
"das Unglück, -e",Bei dem Unglück gab es viele Verletzte.,"بدشانسی، -s","the misfortune, -s"
unheimlich,1. Ich mag dieses Haus nicht. Es sieht unheimlich aus. 2. Diese Person ist mir unheimlich. 3. Lass uns umkehren. Mir wird im Dunkeln unheimlich. 4. Die Prüfung war unheimlich schwer.,ترسناک,scary
"die Uniform, -en","In der Schule, die sie besucht, trägt man Uniformen.",یونیفرم(ها),the uniform(s)
"die Universität, -en",Mein Sohn studiert an der Universität.,"دانشگاه، -s","the university, -s"
unten,"1. Wir wohnen im 3. Stock, meine Eltern unten im 1. Stock. 2. Sie ist mal kurz nach unten gegangen.",زیر,below
unter,1. Unter uns wohnt eine Familie mit drei Kindern. 2. Die CDs sind im Regal unter dem Fernseher.,تحت,under
unter-,Mein Pass ist im unteren Regal.,زیر-,under-
"unterbrechen, unterbricht, unterbrach, hat unterbrochen","1. Wir unterbrechen die Sendung für eine wichtige Nachricht. 2. Bitte unterbrich mich nicht, wenn ich spreche.","قطع کردن، وقفه انداختن، وقفه انداختن، قطع کرده است","interrupt, interrupts, interrupted, has interrupted"
"(sich) unterhalten, unterhält, unterhielt, hat unterhalten",1. Wir haben uns über das Fußballspiel unterhalten. 2. Ich habe mich bei der Party sehr gut unterhalten.,"(برای) صحبت کردن، صحبت کردن، صحبت کردن، صحبت کرده است","(to) converse, converses, conversed, has conversed"
"die Unterhaltung, -en",Wir wünschen Ihnen gute Unterhaltung.,"سرگرمی، -s","the entertainment, -s"
"die Unterkunft, ¨-e",1. Ich komme drei Tage nach Hamburg und suche eine günstige Unterkunft. 2. Ist dieser Preis inklusive Unterkunft und Essen?,"محل اقامت، ¨-e","the accommodation, ¨-e"
die Unterlagen (Pl.),Ich schicke Ihnen alle Unterlagen mit der Post zu.,اسناد (جمع),the documents (pl.)
"unterlassen, unterlässt, unterließ, hat unterlassen",Das Rauchen auf den Gängen ist zu unterlassen.,"از قلم انداختن، صرف نظر کردن، صرف نظر کردن، از قلم انداخته است","to omit, omits, omitted, has omitted"
"unternehmen, unternimmt, unternahm, hat unternommen",Wollen wir heute Abend noch etwas unternehmen?,"متعهد می‌شود، انجام می‌دهد، انجام داده است","undertakes, undertakes, has undertaken"
"der Unternehmer, - die Unternehmerin, -nen",Sie ist erfolgreiche Unternehmerin.,"کارآفرین، - کارآفرین (مونث)، -s","the entrepreneur, - the entrepreneur (female), -s"
"unterrichten, unterrichtet, unterrichtete, hat unterrichtet",Meine Frau unterrichtet Spanisch.,"یاد دادن، درس دادن، آموزش دادن، یاد داده است","to teach, taught, taught, has taught"
der Unterricht,Der Unterricht dauert von 17 bis 19 Uhr.,درس,the lesson
untersagt,"Es ist untersagt, hier zu rauchen.",ممنوع,prohibited
"unterscheiden, unterscheidet, unterschied, hat unterschieden",Ihr seid euch sehr ähnlich. Auf dem Foto kann man euch beide nicht unterscheiden.,"تمایز قائل شدن، متمایز کردن، فرق گذاشتن، متمایز کرده است","distinguish, distinguishes, differed, has distinguished"
"der Unterschied, -e","Können Sie mir sagen, was der Unterschied ist? Welche Fahrkarte ist günstiger?","تفاوت، -s","the difference, -s"
unterschiedlich,"Mein Bruder und ich sind sehr unterschiedlich. Er interessiert sich für Mathematik, ich mich für Sprachen.",متفاوت,different
"unterschreiben, unterschreibt, unterschrieb, hat unterschrieben",Unterschreiben Sie bitte hier unten rechts.,"امضا، علامت، امضا کرده، امضا کرده است","sign, signs, signed, has signed"
"die Unterschrift, -en",Auf dem Schreiben fehlt die Unterschrift.,امضا(ها),the signature(s)
"unterstreichen, unterstreicht, unterstrich, hat unterstrichen",Wir sollen alle wichtigen Wörter unterstreichen.,"زیر خط کشیدن، زیر خط کشیدن، زیر خط کشیدن، زیر خط کشیده است","underline, underlines, underlined, has underlined"
"unterstützen, unterstützt, unterstützte, hat unterstützt","Sie unterstützen mich, wo sie nur können.","پشتیبانی کردن، حمایت کردن، پشتیبانی کردن، حمایت کرده است","support, supported, supported, has supported"
"die Unterstützung, -en",Ich nehme Ihre Unterstützung gern an.,"تکیه‌گاه، -s","the support, -s"
"untersuchen, untersucht, untersuchte, hat untersucht",Sie sollten sich vom Arzt untersuchen lassen.,"بررسی کردن، معاینه کردن، معاینه کردن، معاینه کرده است","examine, examined, examined, has examined"
"die Untersuchung, -en",Ich habe morgen eine Untersuchung im Krankenhaus.,"تحقیقات، -s","the investigation, -s"
unterwegs,"1. Warte auf mich. Ich bin unterwegs und komme gleich. 2. Unterwegs können wir noch etwas essen. 3. Stell dir vor, der Brief war zwei Wochen unterwegs.",در راه,on the way
"die Urkunde, -n","Wenn wir das Spiel gewinnen, bekommen wir eine Urkunde.",سند(ها),the document(s)
"der Urlaub, -e (D, A) → CH: Ferien",Ich habe noch drei Tage Urlaub.,"تعطیلات، -s (D, A) → CH: تعطیلات","the holiday, -s (D, A) → CH: vacation"
"die Ursache, -n",1. Kennt man schon die Unfallursache? 2. Vielen Dank! – Keine Ursache!,علت (علل),the cause(s)
"verursachen, verursacht, verursachte, hat verursacht",Dieser Busfahrer verursachte den Unfall.,"باعث شدن، باعث شدن، باعث شدن، باعث شده است","cause, caused, caused, has caused"
ursprünglich,Ursprünglich wollte ich in einem Restaurant arbeiten. Aber dann bin ich Busfahrerin geworden.,در اصل,originally
"das Urteil, -e",1. Dein Urteil ist für mich sehr wichtig. 2. Das Urteil des Gerichts erscheint mir zu hart.,"قضاوت، -s","the judgment, -s"
"die Vase, -n",Hast du eine Vase für die Blumen?,"گلدان، -s","the vase, -s"
"der Vater, ¨-",1. Mein Vater arbeitet in einem Restaurant. 2. Herr Müller ist Vater geworden.,پدر-,the father-
vegetarisch,1. Ich mag kein Fleisch. Ich esse am liebsten vegetarisch. 2. Haben Sie auch vegetarische Gerichte?,گیاهخواری,vegetarian
"das Velo, -s (CH) → Fahrrad; D, A: Rad",1. Sie fährt jeden Morgen mit dem Velo zur Arbeit. 2. Am Sonntag fahren wir oft Velo.,"دوچرخه (CH) → دوچرخه؛ D، A: دوچرخه","the bicycle (CH) → bicycle; D, A: bike"
"(sich) verabreden, verabredet, verabredete, hat verabredet",Wir haben uns mit Freunden verabredet. Wir wollen zusammen essen.,"قرار ملاقات گذاشتن، ترتیب دادن، مرتب کردن، ترتیب دادن","to arrange a date, arranged, arranged, has arranged"
verabredet,"Tut mir leid, ich habe keine Zeit. Ich bin mit meiner Freundin verabredet.",قرار ملاقات داشته باشید,have an appointment
"die Verabredung, -en",Ich habe um 15 Uhr eine Verabredung mit Klaus.,"قرار ملاقات، -s","the appointment, -s"
"(sich) verabschieden, verabschiedet, verabschiedete, hat verabschiedet",1. Ich wurde von meinen Freunden sehr nett verabschiedet. 2. Es ist schon 23 Uhr. Ich möchte mich verabschieden.,"خداحافظی کردن، خداحافظی کردن، خداحافظی کردن، خداحافظی کرده است","to say goodbye, said goodbye, said goodbye, has said goodbye"
"der Abschied, -e",Der Abschied von meinen Freunden fiel mir schwer.,"خداحافظی، -s","the farewell, -s"
"(sich) verändern, verändert, veränderte, hat verändert",1. Das geht so nicht. Wir müssen die Organisation verändern. 2. Wir haben uns lange nicht gesehen. Aber du hast dich gar nicht verändert.,"(تغییر دادن)، عوض شدن، دگرگون شدن، تغییر کرده است","(to) change, changed, changed, has changed"
"die Veranstaltung, -en",Am Samstag ist unser Lokal geschlossen. Wir haben eine Veranstaltung.,رویداد(ها),the event(s)
verantwortlich,Sie sind für Ihre Kinder verantwortlich.,مسئول,responsible
die Verantwortung,Sie tragen die Verantwortung für Ihre Kinder.,مسئولیت,the responsibility
"(sich) verbessern, verbessert, verbesserte, hat verbessert",1. Ich habe mein Deutsch verbessert. 2. Meine Kinder haben sich in der Schule verbessert.,"(بهبود بخشیدن)، بهبود یافتن، بهتر شدن، بهبود یافته است","(to) improve, improved, improved, has improved"
"verbieten, verbietet, verbot, hat verboten",Ich werde meinen Kindern das Rauchen verbieten.,"ممنوع کردن، قدغن کردن، ممنوع کردن، ممنوع کرده است","forbids, prohibits, banned, has banned"
"das Verbot, -e",Ich bin für das Verbot dieses neuen Videospiels.,"ممنوعیت، -s","the prohibition, -s"
verboten,In den meisten Restaurants ist Rauchen verboten.,ممنوع,forbidden
"verbinden, verbindet, verband, hat verbunden","1. Wir müssen die Wunde sofort verbinden. 2. Sie sind falsch verbunden! Hier ist Müller, nicht Meyer.","وصل کردن، متصل کردن، متصل کردن، متصل کرده است","connect, connects, connected, has connected"
"die Verbindung, -en",1. Die Verbindung ist sehr gut. Ich kann direkt mit diesem Zug fahren und muss nicht umsteigen. 2. Kannst du bitte lauter sprechen? Die Verbindung ist sehr schlecht.,"اتصال، -s","the connection, -s"
"verbrauchen, verbraucht, verbrauchte, hat verbraucht",Wie viel Benzin verbraucht dein Auto?,"مصرف کردن، مصرف کردن، مصرف کردن، مصرف کرده است","consume, consumed, consumed, has consumed"
"der Verbrecher, - die Verbrecherin, -nen",Die Polizei hat den Verbrecher verhaftet.,"جنایتکار، - جنایتکار زن، -s","the criminal, - the female criminal, -s"
"(sich) verbrennen, verbrennt, verbrannte, hat verbrannt",1. Ich werde alle Briefe verbrennen. 2. Der Herd war noch heiß. Ich habe mich verbrannt.,"(سوختن)، سوختن، سوختن، سوخته است","(to) get burned, burns, burned, has burned"
"verbringen, verbringt, verbrachte, hat verbracht",Wie haben Sie Ihren Urlaub verbracht?,"خرج کردن، خرج کردن، خرج کردن، خرج کرده است","spend, spends, spent, has spent"
der Verdacht,"1. Wer hat das Geld aus der Kasse genommen? – Ich weiß es nicht, aber ich habe einen Verdacht. 2. Wen haben Sie in Verdacht?",سوءظن,the suspicion
verdächtig,1. Die Tür war nicht abgeschlossen. Das ist verdächtig. 2. Haben Sie etwas Verdächtiges gesehen?,مشکوک,suspicious
"verdienen, verdient, verdiente, hat verdient",1. In diesem Beruf verdient man gut. 2. Er hat den Urlaub wirklich verdient.,"کسب کردن، به دست آوردن، به دست آوردن، به دست آورده است","earn, earned, earned, has earned"
"der Verein, -e",Ich bin schon seit 15 Jahren Mitglied in diesem Verein.,"باشگاه، -s","the club, -s"
"vereinbaren, vereinbart, vereinbarte, hat vereinbart",Können wir einen Termin vereinbaren?,"موافق، موافقت، موافقت کردن، موافقت کرده است","agree, agreed, agreed, has agreed"
die Vergangenheit,In der Vergangenheit war das anders.,گذشته,the past
vergeblich,Ich habe vergeblich versucht dich anzurufen.,بیهوده,vain
"vergessen, vergisst, vergaß, hat vergessen",1. Ich habe den Termin ganz vergessen. 2. Ich habe meinen Pass vergessen.,"فراموش کردن، فراموش کردن، فراموش کردن، فراموش کرده است","forget, forgets, forgot, has forgotten"
"vergleichen, vergleicht, verglich, hat verglichen",Vergleichen Sie die Angebote.,"مقایسه کردن، مقایسه کردن، مقایسه کردن، مقایسه کرده است","compare, compares, compared, has compared"
"der Vergleich, -e",1. Ein Vergleich ist schwer möglich. 2. Im Vergleich zum Wetter letzte Woche ist es heute warm.,"مقایسه، -s","the comparison, -s"
"sich vergnügen, vergnügt sich, vergnügte sich, hat sich vergnügt",Auf der Party habe ich mich sehr vergnügt.,"از خود لذت بردن، از خود لذت بردن، از خود لذت بردن، از خود لذت برده است","to enjoy oneself, enjoys oneself, enjoyed oneself, has enjoyed oneself"
"das Vergnügen, -","1. Es ist ein Vergnügen, den Kindern beim Spielen zuzusehen. 2. Ich wünsche dir viel Vergnügen bei der Party!","لذت، -","the pleasure, -"
vergnügt,Er kam mit einem vergnügten Grinsen herein.,شاد,cheerful
"vergrößern, vergrößert, vergrößerte, hat vergrößert",1. Können Sie das Foto vergrößern? 2. Wir wollen unser Geschäft vergrößern.,"بزرگ کردن، بزرگ کردن، بزرگ کردن، بزرگ کرده است","enlarge, enlarged, enlarged, has enlarged"
"verhaften, verhaftet, verhaftete, hat verhaftet",Die Polizei hat 23 Menschen verhaftet.,"بازداشت، دستگیر، دستگیر شده، دستگیر کرده است","arrest, arrested, arrested, has arrested"
"sich verhalten, verhält sich, verhielt sich, hat sich verhalten",Der Mann hat sich uns gegenüber merkwürdig verhalten.,"رفتار کردن، رفتار کردن، رفتار کردن، رفتار کرده است","to behave, behaves, behaved, has behaved"
das Verhalten,Ich bewundere dein Verhalten in der schwierigen Situation.,رفتار,the behavior
"das Verhältnis, -se",Ich habe ein gutes Verhältnis zu meinen Eltern.,"رابطه، -s","the relationship, -s"
verheiratet,1. Mit wem sind Sie verheiratet? 2. Meine Eltern sind seit 30 Jahren verheiratet.,ازدواج کرده,married
"verhindern, verhindert, verhinderte, hat verhindert",Wir konnten den Unfall nicht verhindern.,"جلوگیری کردن، جلوگیری کردن، جلوگیری کردن، جلوگیری کرده است","prevent, prevented, prevented, has prevented"
"verkaufen, verkauft, verkaufte, hat verkauft",Ich habe unser altes Auto verkauft.,"فروختن، فروخته شده، فروخته شده، فروخته است","sell, sold, sold, has sold"
"der Verkäufer, - die Verkäuferin, -nen",Die Verkäuferin wird Ihnen gleich helfen.,"فروشنده، - فروشنده زن، -s","the seller, - the saleswoman, -s"
der Verkehr,Morgens ist hier immer viel Verkehr.,ترافیک,the traffic
"das Verkehrsmittel, -",Es gibt kaum Parkplätze. Sie sollten mit öffentlichen Verkehrsmitteln fahren.,"وسایل حمل و نقل، -","the means of transport, -"
"der Verlag, -e (A: ¨-e)",Von welchem Verlag ist dieses Buch?,"ناشر، -s (الف: ¨-e)","the publisher, -s (A: ¨-e)"
"verlangen, verlangt, verlangte, hat verlangt","1. Jeden Tag Überstunden? Das können Sie nicht verlangen. 2. Wie viel verlangen Sie für das Auto? 3. Frau Müller, Sie werden am Telefon verlangt.","تقاضا کردن، مطالبه کردن، مطالبه کردن، مطالبه کرده است","demand, demanded, demanded, has demanded"
"verlängern, verlängert, verlängerte, hat verlängert",1. Ich muss meinen Pass verlängern lassen. 2. Die U-Bahn Linie U4 wird verlängert.,"امتداد، امتداد، توسعه یافته، گسترش یافته است","extend, extended, extended, has extended"
"verlassen, verlässt, verließ, hat verlassen",1. Ich habe die Party um 3 Uhr verlassen. 2. Du kannst dich auf mich verlassen. Ich helfe dir auf jeden Fall.,"ترک کردن، رفتن، رفتن، ترک کردن","to leave, leaves, left, has left"
"sich verlaufen, verläuft sich, verlief sich, hat sich verlaufen",Gestern haben wir uns im Wald verlaufen. Wir haben erst eine Stunde später den richtigen Weg gefunden.,"گم شدن، گم شدن، گم شدن، گم شده است","to get lost, gets lost, got lost, has gotten lost"
"(sich) verletzen, verletzt, verletzte, hat verletzt",1. Ich habe mich an der Hand verletzt. 2. Ich habe mir den Arm verletzt.,"(به خود آسیب رساندن)، مجروح کردن، آسیب رساندن، مجروح کردن","(to) injure oneself, injured, injured, has injured"
"die Verletzung, -en",Keine Angst. Die Verletzung ist nicht so schlimm.,"آسیب، -s","the injury, -s"
"sich verlieben, verliebt sich, verliebte sich, hat sich verliebt",Ich habe mich verliebt.,"عاشق شدن، عاشق شدن، عاشق شدن، عاشق شده است","to fall in love, falls in love, fell in love, has fallen in love"
verliebt,Ich bin in Francesco verliebt.,عاشق,in love
"verlieren, verliert, verlor, hat verloren",1. Ich habe meine Brieftasche verloren. 2. Jennifer hat ihre Stelle verloren. 3. Sie dürfen den Mut nicht verlieren. 4. Unsere Mannschaft hat 3:5 verloren.,"از دست دادن، از دست دادن، گم کردن، از دست داده است","lose, loses, lost, has lost"
"der Verlierer, - die Verliererin, -nen",Sie ist eine gute Verliererin.,"بازنده، - بازنده (مونث)، -s","the loser, - the loser (female), -s"
"der Verlust, -e",Der Verlust meiner Uhr ärgert mich sehr.,"ضرر، -s","the loss, -s"
"vermeiden, vermeidet, vermied, hat vermieden","Der Arzt sagt, ich soll Stress vermeiden.","اجتناب کردن، اجتناب کردن، اجتناب کردن، اجتناب کرده است","avoid, avoids, avoided, has avoided"
"vermieten, vermietet, vermietete, hat vermietet",1. Bei uns im Haus ist ein Zimmer zu vermieten. 2. Die Wohnung ist schon vermietet.,"اجاره، اجاره داده شده، اجاره داده شده، اجاره داده است","rent, rented, rented, has rented"
"der Vermieter, - die Vermieterin, -nen","Unsere Vermieterin ist eine sehr nette, ältere Frau.","صاحبخانه، - زن صاحبخانه، -s","the landlord, - the landlady, -s"
"die Vermietung, -en",Mit der Vermietung von Wohnungen kann man viel Geld verdienen.,"اجاره، -s","the rental, -s"
"vermissen, vermisst, vermisste, hat vermisst",Ich vermisse meine Familie.,"دلتنگ، دلتنگ، از دست رفته، از دست داده است","miss, missed, missed, has missed"
"die Vermittlung, -en",1. Du suchst ein Zimmer? Dann frag bei der Vermittlung am Bahnhof nach. 2. Rufen Sie die Vermittlung an und fragen Sie nach der Telefonnummer von Herrn Fischer.,"میانجیگری، -s","the mediation, -s"
"vermuten, vermutet, vermutete, hat vermutet","Ich vermute, sie wird heute nicht kommen.","مظنون، مظنون، مظنون، گمان برده است","suspect, suspected, suspected, has suspected"
vermutlich,Vermutlich sagt er die Wahrheit.,ظاهراً,allegedly
vernünftig,1. Seien Sie doch vernünftig! 2. Das ist ein ganz vernünftiger Vorschlag.,معقول,reasonable
"verpacken, verpackt, verpackte, hat verpackt",Hast Du die Pakete gut verpackt?,"بسته‌بندی کردن، بسته‌بندی کردن، بسته‌بندی کردن، بسته‌بندی کرده است","to pack, packed, packed, has packed"
